,Inputs,Outputs,Output Class,Inputs 0,Inputs 1,Inputs 2,Inputs 3,Inputs 4
5244,"[7, 7, 4, 8, 3]",1.5,2,7,7,4,8,3
5245,"[10, 1, 2, 3, 10]",5.0,10,10,1,2,3,10
5246,"[10, 4, 9, 2, 8]",4.0,7,10,4,9,2,8
5247,"[1, 6, 3, 7, 8]",4.0,7,1,6,3,7,8
5248,"[8, 10, 1, 4, 4]",2.0,3,8,10,1,4,4
5249,"[3, 2, 1, 10, 7]",3.5,6,3,2,1,10,7
5250,"[6, 2, 1, 4, 5]",2.5,4,6,2,1,4,5
5251,"[9, 1, 9, 10, 2]",1.0,1,9,1,9,10,2
5252,"[8, 6, 1, 3, 10]",5.0,10,8,6,1,3,10
5253,"[5, 3, 8, 2, 6]",3.0,5,5,3,8,2,6
5254,"[7, 1, 3, 1, 6]",3.0,5,7,1,3,1,6
5255,"[8, 4, 8, 6, 9]",4.5,8,8,4,8,6,9
5256,"[7, 1, 5, 5, 3]",1.5,2,7,1,5,5,3
5257,"[8, 6, 1, 4, 5]",2.5,4,8,6,1,4,5
5258,"[4, 7, 5, 2, 6]",3.0,5,4,7,5,2,6
5259,"[1, 2, 8, 3, 10]",5.0,10,1,2,8,3,10
5260,"[1, 9, 3, 4, 9]",4.5,8,1,9,3,4,9
5261,"[10, 3, 1, 5, 1]",0.5,0,10,3,1,5,1
5262,"[3, 4, 2, 7, 4]",2.0,3,3,4,2,7,4
5263,"[1, 2, 9, 6, 6]",3.0,5,1,2,9,6,6
5264,"[2, 8, 3, 6, 4]",2.0,3,2,8,3,6,4
5265,"[4, 7, 6, 7, 6]",3.0,5,4,7,6,7,6
5266,"[6, 6, 4, 3, 4]",2.0,3,6,6,4,3,4
5267,"[9, 1, 1, 5, 1]",0.5,0,9,1,1,5,1
5268,"[2, 6, 10, 10, 9]",4.5,8,2,6,10,10,9
5269,"[1, 6, 5, 2, 9]",4.5,8,1,6,5,2,9
5270,"[10, 5, 7, 5, 8]",4.0,7,10,5,7,5,8
5271,"[7, 2, 4, 2, 8]",4.0,7,7,2,4,2,8
5272,"[5, 4, 6, 10, 4]",2.0,3,5,4,6,10,4
5273,"[9, 4, 5, 7, 10]",5.0,10,9,4,5,7,10
5274,"[6, 1, 1, 2, 6]",3.0,5,6,1,1,2,6
5275,"[10, 5, 10, 2, 3]",1.5,2,10,5,10,2,3
5276,"[6, 4, 8, 3, 10]",5.0,10,6,4,8,3,10
5277,"[4, 3, 9, 4, 9]",4.5,8,4,3,9,4,9
5278,"[3, 9, 8, 4, 5]",2.5,4,3,9,8,4,5
5279,"[9, 1, 10, 4, 1]",0.5,0,9,1,10,4,1
5280,"[1, 5, 6, 8, 6]",3.0,5,1,5,6,8,6
5281,"[6, 9, 10, 3, 5]",2.5,4,6,9,10,3,5
5282,"[4, 10, 6, 1, 8]",4.0,7,4,10,6,1,8
5283,"[8, 9, 9, 2, 9]",4.5,8,8,9,9,2,9
5284,"[7, 7, 8, 1, 9]",4.5,8,7,7,8,1,9
5285,"[10, 8, 2, 3, 8]",4.0,7,10,8,2,3,8
5286,"[7, 5, 8, 7, 9]",4.5,8,7,5,8,7,9
5287,"[5, 8, 7, 9, 7]",3.5,6,5,8,7,9,7
5288,"[3, 2, 2, 2, 6]",3.0,5,3,2,2,2,6
5289,"[1, 2, 6, 3, 8]",4.0,7,1,2,6,3,8
5290,"[5, 6, 10, 7, 1]",0.5,0,5,6,10,7,1
5291,"[9, 2, 3, 7, 2]",1.0,1,9,2,3,7,2
5292,"[6, 9, 2, 3, 10]",5.0,10,6,9,2,3,10
5293,"[10, 4, 6, 6, 2]",1.0,1,10,4,6,6,2
5294,"[9, 8, 2, 10, 1]",0.5,0,9,8,2,10,1
5295,"[7, 10, 8, 2, 8]",4.0,7,7,10,8,2,8
5296,"[5, 4, 10, 10, 4]",2.0,3,5,4,10,10,4
5297,"[3, 3, 6, 10, 9]",4.5,8,3,3,6,10,9
5298,"[8, 6, 3, 4, 9]",4.5,8,8,6,3,4,9
5299,"[3, 4, 6, 10, 10]",5.0,10,3,4,6,10,10
5300,"[5, 2, 10, 9, 2]",1.0,1,5,2,10,9,2
5301,"[8, 5, 6, 8, 6]",3.0,5,8,5,6,8,6
5302,"[9, 8, 1, 6, 5]",2.5,4,9,8,1,6,5
5303,"[8, 4, 9, 5, 4]",2.0,3,8,4,9,5,4
5304,"[8, 1, 4, 6, 5]",2.5,4,8,1,4,6,5
5305,"[9, 9, 4, 2, 6]",3.0,5,9,9,4,2,6
5306,"[7, 4, 4, 10, 3]",1.5,2,7,4,4,10,3
5307,"[8, 3, 9, 5, 4]",2.0,3,8,3,9,5,4
5308,"[2, 8, 4, 8, 10]",5.0,10,2,8,4,8,10
5309,"[10, 5, 4, 6, 2]",1.0,1,10,5,4,6,2
5310,"[4, 2, 10, 5, 6]",3.0,5,4,2,10,5,6
5311,"[10, 7, 2, 5, 6]",3.0,5,10,7,2,5,6
5312,"[9, 5, 1, 7, 9]",4.5,8,9,5,1,7,9
5313,"[6, 6, 10, 1, 2]",1.0,1,6,6,10,1,2
5314,"[6, 2, 1, 9, 6]",3.0,5,6,2,1,9,6
5315,"[4, 8, 4, 7, 9]",4.5,8,4,8,4,7,9
5316,"[5, 7, 1, 8, 3]",1.5,2,5,7,1,8,3
5317,"[2, 5, 9, 9, 9]",4.5,8,2,5,9,9,9
5318,"[1, 5, 10, 10, 8]",4.0,7,1,5,10,10,8
5319,"[10, 8, 6, 8, 7]",3.5,6,10,8,6,8,7
5320,"[9, 3, 2, 9, 2]",1.0,1,9,3,2,9,2
5321,"[8, 10, 3, 2, 6]",3.0,5,8,10,3,2,6
5322,"[3, 9, 1, 7, 7]",3.5,6,3,9,1,7,7
5323,"[6, 1, 3, 6, 5]",2.5,4,6,1,3,6,5
5324,"[6, 10, 10, 10, 1]",0.5,0,6,10,10,10,1
5325,"[8, 1, 6, 6, 9]",4.5,8,8,1,6,6,9
5326,"[8, 6, 10, 3, 10]",5.0,10,8,6,10,3,10
5327,"[3, 10, 9, 6, 10]",5.0,10,3,10,9,6,10
5328,"[8, 4, 4, 5, 7]",3.5,6,8,4,4,5,7
5329,"[4, 10, 3, 2, 7]",3.5,6,4,10,3,2,7
5330,"[9, 5, 7, 2, 8]",4.0,7,9,5,7,2,8
5331,"[9, 6, 2, 5, 9]",4.5,8,9,6,2,5,9
5332,"[7, 10, 10, 5, 10]",5.0,10,7,10,10,5,10
5333,"[1, 8, 5, 4, 9]",4.5,8,1,8,5,4,9
5334,"[5, 9, 10, 4, 7]",3.5,6,5,9,10,4,7
5335,"[4, 3, 8, 10, 2]",1.0,1,4,3,8,10,2
5336,"[6, 6, 7, 10, 9]",4.5,8,6,6,7,10,9
5337,"[2, 2, 7, 4, 3]",1.5,2,2,2,7,4,3
5338,"[2, 9, 3, 5, 2]",1.0,1,2,9,3,5,2
5339,"[4, 6, 10, 7, 4]",2.0,3,4,6,10,7,4
5340,"[10, 10, 4, 3, 7]",3.5,6,10,10,4,3,7
5341,"[2, 2, 4, 6, 10]",5.0,10,2,2,4,6,10
5342,"[9, 5, 2, 1, 10]",5.0,10,9,5,2,1,10
5343,"[2, 10, 4, 8, 10]",5.0,10,2,10,4,8,10
5344,"[2, 4, 4, 10, 10]",5.0,10,2,4,4,10,10
5345,"[1, 5, 5, 3, 4]",2.0,3,1,5,5,3,4
5346,"[5, 4, 7, 6, 2]",1.0,1,5,4,7,6,2
5347,"[9, 10, 2, 5, 3]",1.5,2,9,10,2,5,3
5348,"[3, 5, 2, 3, 7]",3.5,6,3,5,2,3,7
5349,"[10, 3, 1, 1, 2]",1.0,1,10,3,1,1,2
5350,"[3, 2, 6, 9, 4]",2.0,3,3,2,6,9,4
5351,"[8, 7, 8, 3, 9]",4.5,8,8,7,8,3,9
5352,"[4, 1, 10, 10, 1]",0.5,0,4,1,10,10,1
5353,"[5, 2, 4, 10, 2]",1.0,1,5,2,4,10,2
5354,"[5, 6, 3, 3, 5]",2.5,4,5,6,3,3,5
5355,"[8, 6, 10, 4, 7]",3.5,6,8,6,10,4,7
5356,"[3, 4, 3, 1, 1]",0.5,0,3,4,3,1,1
5357,"[1, 6, 3, 3, 6]",3.0,5,1,6,3,3,6
5358,"[7, 6, 3, 8, 8]",4.0,7,7,6,3,8,8
5359,"[9, 4, 7, 1, 8]",4.0,7,9,4,7,1,8
5360,"[6, 6, 1, 5, 5]",2.5,4,6,6,1,5,5
5361,"[7, 8, 4, 7, 1]",0.5,0,7,8,4,7,1
5362,"[1, 7, 5, 10, 7]",3.5,6,1,7,5,10,7
5363,"[9, 9, 3, 4, 9]",4.5,8,9,9,3,4,9
5364,"[1, 1, 10, 1, 9]",4.5,8,1,1,10,1,9
5365,"[3, 5, 9, 4, 6]",3.0,5,3,5,9,4,6
5366,"[4, 9, 6, 3, 8]",4.0,7,4,9,6,3,8
5367,"[4, 9, 6, 9, 1]",0.5,0,4,9,6,9,1
5368,"[4, 9, 8, 1, 2]",1.0,1,4,9,8,1,2
5369,"[10, 4, 5, 10, 6]",3.0,5,10,4,5,10,6
5370,"[1, 9, 3, 2, 7]",3.5,6,1,9,3,2,7
5371,"[3, 8, 9, 3, 10]",5.0,10,3,8,9,3,10
5372,"[8, 1, 2, 2, 6]",3.0,5,8,1,2,2,6
5373,"[9, 3, 7, 2, 10]",5.0,10,9,3,7,2,10
5374,"[8, 3, 3, 4, 1]",0.5,0,8,3,3,4,1
5375,"[9, 1, 4, 6, 10]",5.0,10,9,1,4,6,10
5376,"[2, 2, 1, 6, 7]",3.5,6,2,2,1,6,7
5377,"[7, 1, 4, 6, 2]",1.0,1,7,1,4,6,2
5378,"[7, 5, 6, 10, 5]",2.5,4,7,5,6,10,5
5379,"[10, 4, 5, 6, 4]",2.0,3,10,4,5,6,4
5380,"[7, 3, 10, 1, 5]",2.5,4,7,3,10,1,5
5381,"[7, 2, 2, 2, 7]",3.5,6,7,2,2,2,7
5382,"[4, 5, 7, 7, 9]",4.5,8,4,5,7,7,9
5383,"[10, 10, 9, 1, 8]",4.0,7,10,10,9,1,8
5384,"[5, 10, 10, 5, 9]",4.5,8,5,10,10,5,9
5385,"[10, 8, 7, 2, 8]",4.0,7,10,8,7,2,8
5386,"[1, 9, 3, 3, 2]",1.0,1,1,9,3,3,2
5387,"[1, 6, 9, 7, 3]",1.5,2,1,6,9,7,3
5388,"[1, 5, 4, 7, 9]",4.5,8,1,5,4,7,9
5389,"[10, 9, 6, 6, 8]",4.0,7,10,9,6,6,8
5390,"[8, 7, 4, 5, 3]",1.5,2,8,7,4,5,3
5391,"[9, 5, 1, 5, 2]",1.0,1,9,5,1,5,2
5392,"[2, 1, 6, 2, 5]",2.5,4,2,1,6,2,5
5393,"[3, 5, 1, 5, 9]",4.5,8,3,5,1,5,9
5394,"[4, 9, 6, 10, 8]",4.0,7,4,9,6,10,8
5395,"[3, 3, 6, 10, 7]",3.5,6,3,3,6,10,7
5396,"[2, 7, 1, 9, 10]",5.0,10,2,7,1,9,10
5397,"[1, 2, 1, 8, 4]",2.0,3,1,2,1,8,4
5398,"[6, 2, 7, 4, 8]",4.0,7,6,2,7,4,8
5399,"[1, 4, 9, 6, 8]",4.0,7,1,4,9,6,8
5400,"[8, 5, 5, 7, 7]",3.5,6,8,5,5,7,7
5401,"[2, 6, 1, 1, 10]",5.0,10,2,6,1,1,10
5402,"[2, 10, 7, 7, 5]",2.5,4,2,10,7,7,5
5403,"[1, 3, 9, 6, 4]",2.0,3,1,3,9,6,4
5404,"[4, 1, 2, 6, 2]",1.0,1,4,1,2,6,2
5405,"[5, 1, 5, 5, 3]",1.5,2,5,1,5,5,3
5406,"[3, 6, 1, 2, 8]",4.0,7,3,6,1,2,8
5407,"[3, 9, 7, 1, 7]",3.5,6,3,9,7,1,7
5408,"[9, 1, 7, 4, 5]",2.5,4,9,1,7,4,5
5409,"[1, 9, 3, 4, 7]",3.5,6,1,9,3,4,7
5410,"[10, 4, 5, 9, 2]",1.0,1,10,4,5,9,2
5411,"[1, 3, 6, 5, 7]",3.5,6,1,3,6,5,7
5412,"[5, 1, 10, 8, 3]",1.5,2,5,1,10,8,3
5413,"[9, 8, 3, 5, 3]",1.5,2,9,8,3,5,3
5414,"[1, 3, 7, 6, 10]",5.0,10,1,3,7,6,10
5415,"[1, 8, 6, 2, 8]",4.0,7,1,8,6,2,8
5416,"[6, 2, 10, 10, 1]",0.5,0,6,2,10,10,1
5417,"[7, 8, 5, 7, 3]",1.5,2,7,8,5,7,3
5418,"[3, 4, 8, 6, 10]",5.0,10,3,4,8,6,10
5419,"[7, 7, 10, 6, 5]",2.5,4,7,7,10,6,5
5420,"[1, 7, 5, 3, 10]",5.0,10,1,7,5,3,10
5421,"[9, 10, 1, 2, 9]",4.5,8,9,10,1,2,9
5422,"[1, 4, 1, 4, 9]",4.5,8,1,4,1,4,9
5423,"[10, 2, 10, 8, 2]",1.0,1,10,2,10,8,2
5424,"[7, 6, 9, 4, 3]",1.5,2,7,6,9,4,3
5425,"[6, 5, 2, 2, 2]",1.0,1,6,5,2,2,2
5426,"[8, 3, 5, 9, 5]",2.5,4,8,3,5,9,5
5427,"[6, 7, 2, 10, 9]",4.5,8,6,7,2,10,9
5428,"[6, 9, 10, 5, 3]",1.5,2,6,9,10,5,3
5429,"[2, 2, 7, 8, 2]",1.0,1,2,2,7,8,2
5430,"[8, 3, 5, 8, 8]",4.0,7,8,3,5,8,8
5431,"[1, 2, 3, 3, 2]",1.0,1,1,2,3,3,2
5432,"[3, 1, 4, 6, 5]",2.5,4,3,1,4,6,5
5433,"[10, 10, 6, 6, 6]",3.0,5,10,10,6,6,6
5434,"[9, 6, 3, 10, 6]",3.0,5,9,6,3,10,6
5435,"[10, 6, 9, 6, 9]",4.5,8,10,6,9,6,9
5436,"[6, 9, 6, 6, 7]",3.5,6,6,9,6,6,7
5437,"[10, 3, 2, 2, 7]",3.5,6,10,3,2,2,7
5438,"[3, 10, 5, 8, 8]",4.0,7,3,10,5,8,8
5439,"[7, 3, 9, 9, 7]",3.5,6,7,3,9,9,7
5440,"[9, 8, 1, 1, 10]",5.0,10,9,8,1,1,10
5441,"[9, 2, 1, 2, 1]",0.5,0,9,2,1,2,1
5442,"[9, 4, 2, 7, 2]",1.0,1,9,4,2,7,2
5443,"[1, 10, 10, 4, 8]",4.0,7,1,10,10,4,8
5444,"[8, 5, 5, 4, 7]",3.5,6,8,5,5,4,7
5445,"[5, 10, 9, 10, 4]",2.0,3,5,10,9,10,4
5446,"[8, 3, 2, 5, 4]",2.0,3,8,3,2,5,4
5447,"[2, 7, 4, 1, 3]",1.5,2,2,7,4,1,3
5448,"[7, 8, 10, 4, 1]",0.5,0,7,8,10,4,1
5449,"[2, 3, 1, 2, 6]",3.0,5,2,3,1,2,6
5450,"[3, 5, 9, 8, 9]",4.5,8,3,5,9,8,9
5451,"[3, 3, 10, 2, 1]",0.5,0,3,3,10,2,1
5452,"[4, 2, 1, 10, 7]",3.5,6,4,2,1,10,7
5453,"[10, 7, 3, 8, 9]",4.5,8,10,7,3,8,9
5454,"[2, 4, 8, 8, 8]",4.0,7,2,4,8,8,8
5455,"[8, 3, 4, 3, 4]",2.0,3,8,3,4,3,4
5456,"[4, 8, 6, 10, 5]",2.5,4,4,8,6,10,5
5457,"[2, 7, 1, 6, 2]",1.0,1,2,7,1,6,2
5458,"[4, 2, 9, 3, 6]",3.0,5,4,2,9,3,6
5459,"[6, 2, 9, 7, 7]",3.5,6,6,2,9,7,7
5460,"[2, 7, 8, 2, 1]",0.5,0,2,7,8,2,1
5461,"[7, 3, 8, 2, 1]",0.5,0,7,3,8,2,1
5462,"[9, 1, 6, 3, 3]",1.5,2,9,1,6,3,3
5463,"[4, 4, 1, 4, 5]",2.5,4,4,4,1,4,5
5464,"[7, 2, 10, 5, 6]",3.0,5,7,2,10,5,6
5465,"[8, 8, 10, 9, 5]",2.5,4,8,8,10,9,5
5466,"[1, 8, 2, 9, 10]",5.0,10,1,8,2,9,10
5467,"[7, 2, 10, 6, 8]",4.0,7,7,2,10,6,8
5468,"[6, 7, 1, 8, 5]",2.5,4,6,7,1,8,5
5469,"[5, 3, 1, 10, 1]",0.5,0,5,3,1,10,1
5470,"[7, 4, 6, 4, 8]",4.0,7,7,4,6,4,8
5471,"[10, 8, 3, 1, 7]",3.5,6,10,8,3,1,7
5472,"[2, 10, 2, 6, 3]",1.5,2,2,10,2,6,3
5473,"[8, 8, 1, 6, 9]",4.5,8,8,8,1,6,9
5474,"[8, 4, 6, 2, 3]",1.5,2,8,4,6,2,3
5475,"[4, 10, 5, 6, 7]",3.5,6,4,10,5,6,7
5476,"[5, 4, 7, 9, 3]",1.5,2,5,4,7,9,3
5477,"[9, 3, 10, 8, 1]",0.5,0,9,3,10,8,1
5478,"[4, 1, 8, 5, 10]",5.0,10,4,1,8,5,10
5479,"[2, 9, 1, 9, 10]",5.0,10,2,9,1,9,10
5480,"[8, 7, 10, 10, 9]",4.5,8,8,7,10,10,9
5481,"[3, 8, 6, 4, 4]",2.0,3,3,8,6,4,4
5482,"[1, 5, 6, 8, 9]",4.5,8,1,5,6,8,9
5483,"[5, 8, 4, 10, 5]",2.5,4,5,8,4,10,5
5484,"[10, 10, 10, 3, 10]",5.0,10,10,10,10,3,10
5485,"[6, 8, 6, 8, 2]",1.0,1,6,8,6,8,2
5486,"[1, 8, 5, 3, 2]",1.0,1,1,8,5,3,2
5487,"[9, 1, 5, 9, 9]",4.5,8,9,1,5,9,9
5488,"[9, 2, 10, 3, 3]",1.5,2,9,2,10,3,3
5489,"[9, 9, 9, 10, 5]",2.5,4,9,9,9,10,5
5490,"[10, 9, 1, 3, 8]",4.0,7,10,9,1,3,8
5491,"[2, 8, 7, 2, 2]",1.0,1,2,8,7,2,2
5492,"[8, 1, 9, 10, 5]",2.5,4,8,1,9,10,5
5493,"[5, 1, 4, 6, 4]",2.0,3,5,1,4,6,4
5494,"[9, 9, 3, 4, 1]",0.5,0,9,9,3,4,1
5495,"[1, 10, 6, 10, 3]",1.5,2,1,10,6,10,3
5496,"[9, 9, 6, 7, 7]",3.5,6,9,9,6,7,7
5497,"[6, 8, 4, 4, 6]",3.0,5,6,8,4,4,6
5498,"[4, 9, 2, 3, 9]",4.5,8,4,9,2,3,9
5499,"[5, 10, 9, 1, 3]",1.5,2,5,10,9,1,3
5500,"[4, 10, 3, 9, 4]",2.0,3,4,10,3,9,4
5501,"[1, 1, 7, 4, 10]",5.0,10,1,1,7,4,10
5502,"[5, 9, 4, 9, 7]",3.5,6,5,9,4,9,7
5503,"[6, 5, 8, 8, 6]",3.0,5,6,5,8,8,6
5504,"[3, 5, 1, 7, 8]",4.0,7,3,5,1,7,8
5505,"[7, 3, 4, 3, 8]",4.0,7,7,3,4,3,8
5506,"[7, 7, 8, 5, 1]",0.5,0,7,7,8,5,1
5507,"[6, 3, 8, 10, 4]",2.0,3,6,3,8,10,4
5508,"[1, 5, 6, 2, 7]",3.5,6,1,5,6,2,7
5509,"[7, 7, 3, 3, 10]",5.0,10,7,7,3,3,10
5510,"[1, 6, 10, 8, 1]",0.5,0,1,6,10,8,1
5511,"[6, 5, 6, 5, 10]",5.0,10,6,5,6,5,10
5512,"[9, 4, 2, 2, 3]",1.5,2,9,4,2,2,3
5513,"[3, 7, 8, 9, 3]",1.5,2,3,7,8,9,3
5514,"[5, 7, 7, 4, 4]",2.0,3,5,7,7,4,4
5515,"[3, 9, 2, 5, 2]",1.0,1,3,9,2,5,2
5516,"[9, 9, 2, 10, 10]",5.0,10,9,9,2,10,10
5517,"[2, 4, 10, 2, 3]",1.5,2,2,4,10,2,3
5518,"[6, 8, 3, 10, 5]",2.5,4,6,8,3,10,5
5519,"[8, 9, 2, 2, 5]",2.5,4,8,9,2,2,5
5520,"[2, 6, 5, 2, 3]",1.5,2,2,6,5,2,3
5521,"[7, 8, 6, 2, 4]",2.0,3,7,8,6,2,4
5522,"[9, 5, 5, 7, 10]",5.0,10,9,5,5,7,10
5523,"[3, 1, 4, 5, 2]",1.0,1,3,1,4,5,2
5524,"[3, 10, 7, 6, 2]",1.0,1,3,10,7,6,2
5525,"[6, 4, 6, 8, 1]",0.5,0,6,4,6,8,1
5526,"[9, 7, 3, 3, 1]",0.5,0,9,7,3,3,1
5527,"[8, 7, 8, 8, 9]",4.5,8,8,7,8,8,9
5528,"[5, 9, 1, 9, 4]",2.0,3,5,9,1,9,4
5529,"[1, 9, 9, 10, 7]",3.5,6,1,9,9,10,7
5530,"[8, 1, 6, 9, 7]",3.5,6,8,1,6,9,7
5531,"[6, 9, 9, 1, 7]",3.5,6,6,9,9,1,7
5532,"[3, 6, 1, 6, 2]",1.0,1,3,6,1,6,2
5533,"[7, 5, 3, 7, 8]",4.0,7,7,5,3,7,8
5534,"[10, 2, 5, 1, 10]",5.0,10,10,2,5,1,10
5535,"[2, 9, 10, 6, 6]",3.0,5,2,9,10,6,6
5536,"[7, 3, 6, 4, 1]",0.5,0,7,3,6,4,1
5537,"[8, 6, 2, 4, 6]",3.0,5,8,6,2,4,6
5538,"[4, 5, 1, 3, 7]",3.5,6,4,5,1,3,7
5539,"[8, 6, 4, 5, 5]",2.5,4,8,6,4,5,5
5540,"[10, 2, 2, 6, 5]",2.5,4,10,2,2,6,5
5541,"[9, 9, 9, 1, 5]",2.5,4,9,9,9,1,5
5542,"[4, 5, 8, 4, 8]",4.0,7,4,5,8,4,8
5543,"[6, 8, 10, 10, 8]",4.0,7,6,8,10,10,8
5544,"[3, 1, 9, 3, 9]",4.5,8,3,1,9,3,9
5545,"[8, 4, 3, 2, 7]",3.5,6,8,4,3,2,7
5546,"[7, 8, 10, 2, 6]",3.0,5,7,8,10,2,6
5547,"[10, 10, 5, 9, 1]",0.5,0,10,10,5,9,1
5548,"[3, 8, 7, 1, 9]",4.5,8,3,8,7,1,9
5549,"[4, 6, 3, 9, 9]",4.5,8,4,6,3,9,9
5550,"[6, 1, 3, 5, 3]",1.5,2,6,1,3,5,3
5551,"[4, 9, 4, 7, 1]",0.5,0,4,9,4,7,1
5552,"[10, 1, 9, 8, 4]",2.0,3,10,1,9,8,4
5553,"[9, 9, 9, 7, 4]",2.0,3,9,9,9,7,4
5554,"[4, 7, 9, 7, 3]",1.5,2,4,7,9,7,3
5555,"[3, 1, 3, 1, 3]",1.5,2,3,1,3,1,3
5556,"[7, 1, 2, 5, 10]",5.0,10,7,1,2,5,10
5557,"[1, 9, 5, 4, 3]",1.5,2,1,9,5,4,3
5558,"[8, 2, 3, 2, 1]",0.5,0,8,2,3,2,1
5559,"[9, 3, 9, 4, 5]",2.5,4,9,3,9,4,5
5560,"[2, 7, 6, 5, 4]",2.0,3,2,7,6,5,4
5561,"[1, 4, 4, 10, 2]",1.0,1,1,4,4,10,2
5562,"[9, 9, 2, 8, 7]",3.5,6,9,9,2,8,7
5563,"[5, 4, 4, 8, 3]",1.5,2,5,4,4,8,3
5564,"[2, 4, 10, 4, 2]",1.0,1,2,4,10,4,2
5565,"[1, 1, 9, 2, 9]",4.5,8,1,1,9,2,9
5566,"[7, 6, 2, 2, 3]",1.5,2,7,6,2,2,3
5567,"[3, 8, 3, 9, 3]",1.5,2,3,8,3,9,3
5568,"[2, 10, 8, 1, 8]",4.0,7,2,10,8,1,8
5569,"[2, 4, 6, 2, 6]",3.0,5,2,4,6,2,6
5570,"[4, 9, 3, 1, 6]",3.0,5,4,9,3,1,6
5571,"[6, 10, 5, 4, 7]",3.5,6,6,10,5,4,7
5572,"[1, 5, 8, 8, 5]",2.5,4,1,5,8,8,5
5573,"[3, 8, 5, 4, 10]",5.0,10,3,8,5,4,10
5574,"[5, 1, 7, 3, 4]",2.0,3,5,1,7,3,4
5575,"[6, 6, 9, 5, 10]",5.0,10,6,6,9,5,10
5576,"[4, 10, 10, 8, 7]",3.5,6,4,10,10,8,7
5577,"[7, 4, 1, 6, 9]",4.5,8,7,4,1,6,9
5578,"[2, 2, 5, 5, 1]",0.5,0,2,2,5,5,1
5579,"[10, 7, 9, 1, 3]",1.5,2,10,7,9,1,3
5580,"[6, 9, 10, 1, 8]",4.0,7,6,9,10,1,8
5581,"[1, 4, 7, 9, 2]",1.0,1,1,4,7,9,2
5582,"[3, 5, 10, 3, 3]",1.5,2,3,5,10,3,3
5583,"[4, 4, 7, 6, 5]",2.5,4,4,4,7,6,5
5584,"[7, 10, 1, 3, 8]",4.0,7,7,10,1,3,8
5585,"[8, 9, 10, 5, 6]",3.0,5,8,9,10,5,6
5586,"[1, 3, 4, 2, 6]",3.0,5,1,3,4,2,6
5587,"[9, 10, 7, 5, 4]",2.0,3,9,10,7,5,4
5588,"[7, 2, 3, 2, 2]",1.0,1,7,2,3,2,2
5589,"[2, 4, 1, 4, 3]",1.5,2,2,4,1,4,3
5590,"[10, 8, 3, 1, 9]",4.5,8,10,8,3,1,9
5591,"[8, 10, 7, 2, 4]",2.0,3,8,10,7,2,4
5592,"[2, 9, 6, 4, 8]",4.0,7,2,9,6,4,8
5593,"[1, 3, 2, 3, 5]",2.5,4,1,3,2,3,5
5594,"[3, 1, 5, 2, 10]",5.0,10,3,1,5,2,10
5595,"[10, 4, 4, 2, 7]",3.5,6,10,4,4,2,7
5596,"[4, 1, 8, 4, 1]",0.5,0,4,1,8,4,1
5597,"[4, 10, 8, 6, 5]",2.5,4,4,10,8,6,5
5598,"[6, 6, 6, 2, 1]",0.5,0,6,6,6,2,1
5599,"[2, 4, 7, 9, 10]",5.0,10,2,4,7,9,10
5600,"[3, 7, 4, 9, 8]",4.0,7,3,7,4,9,8
5601,"[2, 10, 7, 1, 7]",3.5,6,2,10,7,1,7
5602,"[10, 1, 9, 3, 6]",3.0,5,10,1,9,3,6
5603,"[8, 7, 3, 1, 2]",1.0,1,8,7,3,1,2
5604,"[9, 10, 8, 10, 9]",4.5,8,9,10,8,10,9
5605,"[6, 5, 4, 7, 8]",4.0,7,6,5,4,7,8
5606,"[10, 5, 1, 7, 7]",3.5,6,10,5,1,7,7
5607,"[5, 5, 4, 4, 10]",5.0,10,5,5,4,4,10
5608,"[8, 5, 2, 3, 3]",1.5,2,8,5,2,3,3
5609,"[5, 10, 4, 4, 4]",2.0,3,5,10,4,4,4
5610,"[4, 1, 4, 8, 9]",4.5,8,4,1,4,8,9
5611,"[4, 8, 6, 5, 1]",0.5,0,4,8,6,5,1
5612,"[1, 10, 2, 1, 6]",3.0,5,1,10,2,1,6
5613,"[9, 9, 9, 3, 6]",3.0,5,9,9,9,3,6
5614,"[4, 10, 7, 5, 4]",2.0,3,4,10,7,5,4
5615,"[7, 4, 6, 9, 6]",3.0,5,7,4,6,9,6
5616,"[2, 6, 1, 3, 4]",2.0,3,2,6,1,3,4
5617,"[10, 8, 8, 7, 8]",4.0,7,10,8,8,7,8
5618,"[9, 9, 3, 6, 8]",4.0,7,9,9,3,6,8
5619,"[8, 5, 3, 4, 2]",1.0,1,8,5,3,4,2
5620,"[1, 8, 6, 4, 4]",2.0,3,1,8,6,4,4
5621,"[2, 3, 5, 2, 5]",2.5,4,2,3,5,2,5
5622,"[7, 3, 1, 10, 10]",5.0,10,7,3,1,10,10
5623,"[6, 4, 4, 3, 5]",2.5,4,6,4,4,3,5
5624,"[10, 2, 9, 9, 3]",1.5,2,10,2,9,9,3
5625,"[1, 10, 7, 10, 1]",0.5,0,1,10,7,10,1
5626,"[4, 4, 3, 10, 10]",5.0,10,4,4,3,10,10
5627,"[5, 9, 9, 2, 3]",1.5,2,5,9,9,2,3
5628,"[4, 9, 7, 10, 7]",3.5,6,4,9,7,10,7
5629,"[7, 9, 4, 5, 9]",4.5,8,7,9,4,5,9
5630,"[10, 1, 1, 7, 9]",4.5,8,10,1,1,7,9
